id,dutch_title,english_title
445419,Kips Vega paté vol en smeuig,Kips Vega pate full and creamy
565765,AH Terra Plantaardige sojadrink ongezoet,AH Terra Vegetable soy drink unsweetened
412158,Oatly! Haver barista edition,Oatly! Oat barista edition
565766,AH Terra Amandeldrink ongezoet,AH Terra Almond drink unsweetened
462463,AH Terra Plantaardige haverdrink ongezoet,AH Terra Vegetable oat drink unsweetened
489288,AH Terra Plantaardige smeerleverworst,AH Terra Vegetable spread liver sausage
461862,Alpro Barista haver,Alpro Barista oats
518423,Alpro Mild & creamy zonder suikers,Alpro Mild & creamy without sugars
604676,Alpro Mild & creamy zonder suikers 2-pack,Alpro Mild & creamy without sugars 2-pack
438961,AH Terra Plantaardige hummus naturel,AH Terra Vegetable hummus natural
202746,Maza Hoemoes,Maza Hoemoes
564796,AH Terra Plantaardig rulgehakt,AH Terra Vegetable minced meat
188227,Alpro Sojadrink original,Alpro Soya drink original
562392,Alpro Sojadrink original 4-pack,Alpro Soya drink original 4-pack
565763,AH Terra Plantaardige sojadrink,AH Terra Vegetable soy drink
591341,AH Terra Soja gurt,AH Terra Soya gurt
217309,AH Terra Plantaardige hummus naturel,AH Terra Vegetable hummus natural
445420,Kips Vega smeerworst kleintje,Kips Vega sausage spread small
486626,Alpro Variatie op kwark zonder suikers,Alpro Variatie op kwark zonder suikers
593710,Alpro Variatie op kwark zonder suikers 2-pack,Alpro Variation on cottage cheese without sugars 2-pack
114698,Alpro Sojadrink zonder suikers,Alpro Soya drink without sugars
607847,Alpro Sojadrink zonder suikers 4-pack,Alpro Soya drink without sugars 4-pack
570848,Alpro Barista kokos,Alpro Barista coconut
196169,Alpro Mild & creamy vanille smaak,Alpro Mild & creamy vanilla flavour
604675,Alpro Mild & creamy vanille smaak 2-pack,Alpro Mild & creamy vanilla flavor 2-pack
570842,AH Terra Plantaardige barista haver,AH Terra Vegetable barista oats
570853,Oatly! Bio barista haver,Oatly! Organic barista oats
413077,Maza Hoemoes less salt,Maza Hoemoes less salt
234523,AH Terra Plantaardige hummus zongedroogde tomaat,AH Terra Vegetable hummus sun-dried tomato
556299,AH Terra Plantaardig kokos gurt ongezoet,AH Terra Vegetable coconut gurt unsweetened
