id,title,scraped_aisle,category_specific,final_price,original_price,unit,discount,nutriscore,url,scraped_at,all_aisles,title_eng,aisle_eng
445419,Kips Vega paté vol en smeuig,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig/Plantaardige vleeswaren",2.49,2.49,125 g,2e gratis,E,https://www.ah.nl/producten/product/wi445419/kips-vega-pate-vol-en-smeuig,2026-02-23,ontbijtgranen-beleg; vegetarisch-vegan-en-plantaardig; vleeswaren,Kips Vega pate full and creamy,vegetarian-vegan-and-plant-based
412158,Oatly! Haver barista edition,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig/Haverdrink",2.89,2.89,1 l,2e gratis,D,https://www.ah.nl/producten/product/wi412158/oatly-haver-barista-edition,2026-02-23,vegetarisch-vegan-en-plantaardig,Oatly! Oat barista edition,vegetarian-vegan-and-plant-based
565765,AH Terra Plantaardige sojadrink ongezoet,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig/Sojadrink",0.89,0.89,1 l,,B,https://www.ah.nl/producten/product/wi565765/ah-terra-plantaardige-sojadrink-ongezoet,2026-02-23,vegetarisch-vegan-en-plantaardig,AH Terra Vegetable soy drink unsweetened,vegetarian-vegan-and-plant-based
565766,AH Terra Amandeldrink ongezoet,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig/Amandel, cashewdrink",1.49,1.49,1 l,,B,https://www.ah.nl/producten/product/wi565766/ah-terra-amandeldrink-ongezoet,2026-02-23,vegetarisch-vegan-en-plantaardig,AH Terra Almond drink unsweetened,vegetarian-vegan-and-plant-based
462463,AH Terra Plantaardige haverdrink ongezoet,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig/Haverdrink",1.39,1.39,1 l,,C,https://www.ah.nl/producten/product/wi462463/ah-terra-plantaardige-haverdrink-ongezoet,2026-02-23,vegetarisch-vegan-en-plantaardig,AH Terra Vegetable oat drink unsweetened,vegetarian-vegan-and-plant-based
461862,Alpro Barista haver,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig/Haverdrink",2.69,2.69,1 l,2e gratis,A,https://www.ah.nl/producten/product/wi461862/alpro-barista-haver,2026-02-23,vegetarisch-vegan-en-plantaardig,Alpro Barista oats,vegetarian-vegan-and-plant-based
568161,Alpro Barista haver 6-pack,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig/Haverdrink",8.07,16.14,6 stuks,Pakketkorting,,https://www.ah.nl/producten/product/wi568161/alpro-barista-haver-6-pack,2026-02-23,vegetarisch-vegan-en-plantaardig,Alpro Barista oats 6-pack,vegetarian-vegan-and-plant-based
489288,AH Terra Plantaardige smeerleverworst,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig/Plantaardige vleeswaren",1.59,1.59,125 g,,C,https://www.ah.nl/producten/product/wi489288/ah-terra-plantaardige-smeerleverworst,2026-02-23,ontbijtgranen-beleg; vegetarisch-vegan-en-plantaardig; vleeswaren,AH Terra Vegetable spread liver sausage,vegetarian-vegan-and-plant-based
518423,Alpro Mild & creamy zonder suikers,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig/Plantaardige yoghurt naturel",2.99,2.99,755 g,,A,https://www.ah.nl/producten/product/wi518423/alpro-mild-en-creamy-zonder-suikers,2026-02-23,vegetarisch-vegan-en-plantaardig,Alpro Mild & creamy without sugars,vegetarian-vegan-and-plant-based
604676,Alpro Mild & creamy zonder suikers 2-pack,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig/Plantaardige yoghurt naturel",5.68,5.98,2 stuks,5% volume voordeel,,https://www.ah.nl/producten/product/wi604676/alpro-mild-en-creamy-zonder-suikers-2-pack,2026-02-23,vegetarisch-vegan-en-plantaardig,Alpro Mild & creamy without sugars 2-pack,vegetarian-vegan-and-plant-based
438961,AH Terra Plantaardige hummus naturel,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig/Hummus naturel",1.39,1.39,200 g,,C,https://www.ah.nl/producten/product/wi438961/ah-terra-plantaardige-hummus-naturel,2026-02-23,borrel-chips-snacks; ontbijtgranen-beleg; vegetarisch-vegan-en-plantaardig,AH Terra Vegetable hummus natural,vegetarian-vegan-and-plant-based
570848,Alpro Barista kokos,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig/Kokosdrink",2.69,2.69,"0,75 l",2e gratis,B,https://www.ah.nl/producten/product/wi570848/alpro-barista-kokos,2026-02-23,vegetarisch-vegan-en-plantaardig,Alpro Barista coconut,vegetarian-vegan-and-plant-based
572133,Alpro Barista kokosnoot 4-pack,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig/Kokosdrink",5.38,10.76,4 stuks,Pakketkorting,,https://www.ah.nl/producten/product/wi572133/alpro-barista-kokosnoot-4-pack,2026-02-23,vegetarisch-vegan-en-plantaardig,Alpro Barista coconut 4-pack,vegetarian-vegan-and-plant-based
