id,hq_id,title,brand,scraped_aisle,main_category,sub_category,final_price,original_price,discount_pct,discount_label,deal_price,deal_count,unit,unit_price_description,is_bonus,discount_type,bonus_mechanism,bonus_start,bonus_end,nutriscore,available_online,shop_type,url,scraped_at,title_eng,aisle_eng
588085,33267,Boursin Plantaardig knoflook & fijne kruiden,Boursin,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig",Plantaardige kaas voor de borrel,3.49,3.49,,,,,150 g,prijs per kg €23.27,False,,,,,D,True,AH,https://www.ah.nl/producten/product/wi588085,2026-07-27,Boursin Vegetable garlic & fine herbs,vegetarian-vegan-and-plant-based
412158,855694,Oatly! Haver barista edition,Oatly!,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig",Haverdrink,1.995,2.75,27.5,2 voor 3.99,3.99,2.0,1 l,normale prijs per liter €2.75,True,AH,2 voor 3.99,2026-07-27,2026-08-02,D,True,AH,https://www.ah.nl/producten/product/wi412158,2026-07-27,Oatly! Oat barista edition,vegetarian-vegan-and-plant-based
611232,0,Oatly! Haver barista edition 4-pack,Oatly!,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig",Haverdrink,7.98,11.0,27.5,pakketkorting,,,4 stuks,,True,AHOO,,2026-07-27,2026-08-02,,True,AH,https://www.ah.nl/producten/product/wi611232,2026-07-27,Oatly! Oats barista edition 4-pack,vegetarian-vegan-and-plant-based
445419,707247,Kips Vega paté vol en smeuig,Kips,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig",Plantaardige vleeswaren,2.49,2.49,,,,,125 g,prijs per kg €19.92,False,,,,,E,True,AH,https://www.ah.nl/producten/product/wi445419,2026-07-27,Kips Vega pate full and creamy,vegetarian-vegan-and-plant-based
565765,4557,AH Terra Plantaardige sojadrink ongezoet,AH Terra,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig",Sojadrink,0.89,0.89,,,,,1 l,prijs per liter €0.89,False,,,,,B,True,AH,https://www.ah.nl/producten/product/wi565765,2026-07-27,AH Terra Vegetable soy drink unsweetened,vegetarian-vegan-and-plant-based
489288,742894,AH Terra Plantaardige smeerleverworst,AH Terra,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig",Plantaardige vleeswaren,1.59,1.59,,,,,125 g,prijs per kg €12.72,False,,,,,C,True,AH,https://www.ah.nl/producten/product/wi489288,2026-07-27,AH Terra Plantaardige smeerleverworst,vegetarian-vegan-and-plant-based
565766,4558,AH Terra Amandeldrink ongezoet,AH Terra,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig","Amandel, cashewdrink",1.49,1.49,,,,,1 l,prijs per liter €1.49,False,,,,,B,True,AH,https://www.ah.nl/producten/product/wi565766,2026-07-27,AH Terra Amandeldrink ongezoet,vegetarian-vegan-and-plant-based
462463,714670,AH Terra Plantaardige haverdrink ongezoet,AH Terra,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig",Haverdrink,1.35,1.35,,,,,1 l,prijs per liter €1.35,False,,,,,C,True,AH,https://www.ah.nl/producten/product/wi462463,2026-07-27,AH Terra Vegetable oat drink unsweetened,vegetarian-vegan-and-plant-based
438961,70493,AH Terra Plantaardige hummus naturel,AH Terra,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig",Hummus naturel,1.29,1.29,,,,,200 g,prijs per kg €6.45,False,,,,,C,True,AH,https://www.ah.nl/producten/product/wi438961,2026-07-27,AH Terra Vegetable hummus natural,vegetarian-vegan-and-plant-based
518423,87619,Alpro Mild & creamy zonder suikers,Alpro,vegetarisch-vegan-en-plantaardig,"Vegetarisch, vegan en plantaardig",Plantaardige yoghurt naturel,2.99,2.99,,,,,755 g,prijs per kg €3.96,False,,,,,A,True,AH,https://www.ah.nl/producten/product/wi518423,2026-07-27,Alpro Mild & creamy zonder suikers,vegetarian-vegan-and-plant-based
