scraped_aisle,items_found
bakkerij,1206
bier-wijn-aperitieven,2239
borrel-chips-snacks,1331
diepvries,997
drogisterij,2000
frisdrank-sappen-water,1447
fruit-verse-sappen,424
gezondheid-en-sport,1254
glutenvrij,235
groente-aardappelen,887
huishouden,1152
kaas,169
koek-snoep-chocolade,1295
koffie-thee,956
koken-tafelen-vrije-tijd,920
maaltijden-salades,525
ontbijtgranen-beleg,1350
pasta-rijst-wereldkeuken,1477
soepen-sauzen-kruiden-olie,2459
tussendoortjes,675
vegetarisch-vegan-en-plantaardig,489
vis,382
vlees,670
vleeswaren,262
zuivel-eieren,1439
