scraped_aisle,items_found,aisle_eng
bakkerij,1206,bakery
bier-wijn-aperitieven,2239,beer-wine aperitifs
borrel-chips-snacks,1331,drinks-chips-snacks
diepvries,997,freezer
drogisterij,2000,drugstore
frisdrank-sappen-water,1447,soft drinks-juices-water
fruit-verse-sappen,424,fresh fruit juices
gezondheid-en-sport,1254,health-and-sports
glutenvrij,235,gluten free
groente-aardappelen,887,vegetable potatoes
huishouden,1152,households
kaas,169,cheese
koek-snoep-chocolade,1295,cookie-candy-chocolate
koffie-thee,956,coffee-tea
koken-tafelen-vrije-tijd,920,cooking-dining-free-time
maaltijden-salades,525,meals-salads
ontbijtgranen-beleg,1350,breakfast cereal toppings
pasta-rijst-wereldkeuken,1477,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,2459,soups-sauces-herbs-oil
tussendoortjes,675,snacks
vegetarisch-vegan-en-plantaardig,489,vegetarian-vegan-and-plant-based
vis,382,fish
vlees,670,meat
vleeswaren,262,cold cuts
zuivel-eieren,1439,dairy eggs
