scraped_aisle,items_found,bonus_items,title_eng
bakkerij,183,42,bakery
bier-wijn-aperitieven,38,34,beer-wine aperitifs
borrel-chips-snacks,75,41,drinks-chips-snacks
diepvries,39,14,freezer
drogisterij,2991,2417,drugstore
frisdrank-sappen-water,291,180,soft drinks-juices-water
fruit-verse-sappen,434,236,fresh fruit juices
gezondheid-en-sport,1285,284,health-and-sports
glutenvrij,74,41,gluten-free
groente-aardappelen,216,53,vegetable potatoes
huishouden,471,345,households
kaas,363,209,cheese
koek-snoep-chocolade,937,422,cookie-candy-chocolate
koffie-thee,255,152,coffee-tea
koken-tafelen-vrije-tijd,291,136,cooking-dining-free-time
ontbijtgranen-beleg,291,132,breakfast cereal toppings
pasta-rijst-wereldkeuken,756,364,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,435,217,soups-sauces-herbs-oil
vegetarisch-vegan-en-plantaardig,577,247,vegetarian-vegan-and-plant-based
vlees,144,91,meat
vleeswaren,36,20,cold cuts
zuivel-eieren,75,15,dairy eggs
