title,price,old_price,discount_percent,discount_label,deal_type,unit,url,scraped_at,title_eng
Zespri Kiwi gold,3.99,5.79,31,Lidl Plus (-31%),Member Deal,,https://www.lidl.nl/p/zespri-kiwi-gold/p10023661,2026-02-24,Zespri Kiwi gold
Alesto Walnoten,1.99,2.89,31,Lidl Plus (-31%),Member Deal,,https://www.lidl.nl/p/alesto-walnoten/p10023662,2026-02-24,Alesto Walnuts
Oasis,2.95,2.95,0,,Standard,2 liter,https://www.lidl.nl/p/oasis/p10023663,2026-02-24,Oasis
Maribel 100% pindakaas,3.99,3.99,0,,Standard,1 kilo,https://www.lidl.nl/p/maribel-100-pindakaas/p10023664,2026-02-24,Maribel 100% peanut butter
Unox soep in zak,1.99,4.39,55,,Standard,570 ml,https://www.lidl.nl/p/unox-soep-in-zak/p10023665,2026-02-24,Unox soup in bag
Floralys Toiletpapier 4-laags,6.89,6.89,0,,Standard,16 rollen,https://www.lidl.nl/p/floralys-toiletpapier-4-laags/p10023666,2026-02-24,Floralys Toilet paper 4-ply
Milner kaasplakken,1.44,1.44,0,,Standard,150 g,https://www.lidl.nl/p/milner-kaasplakken/p10023667,2026-02-24,Milner cheese slices
Orangina,1.99,1.99,0,,Standard,"1,5 liter",https://www.lidl.nl/p/orangina/p10023668,2026-02-24,Orangina
Olijfolie extra vierge,7.29,9.29,22,Lidl Plus (-â¬2.-),Member Deal,,https://www.lidl.nl/p/olijfolie-extra-vierge/p10023669,2026-02-24,Extra virgin olive oil
Knorr Wereldgerechten,1.99,1.99,0,,Standard,228-326 g,https://www.lidl.nl/p/knorr-wereldgerechten/p10023670,2026-02-24,Knorr World Dishes
Handsinaasappelen,1.69,2.29,26,,Standard,Per kg,https://www.lidl.nl/p/handsinaasappelen/p10023671,2026-02-24,Hand oranges
Bio aardappelen kruimig,2.49,4.89,49,,Standard,3 kg,https://www.lidl.nl/p/bio-aardappelen-kruimig/p10023672,2026-02-24,Organic potatoes floury
Kastanje champignons,1.19,1.49,20,,Standard,250 g,https://www.lidl.nl/p/kastanje-champignons/p10023673,2026-02-24,Chestnut mushrooms
Bio kruiden in pot,1.29,1.99,35,Lidl Plus (-35%),Member Deal,,https://www.lidl.nl/p/bio-kruiden-in-pot/p10023674,2026-02-24,Organic herbs in pot
Roma tomaten,1.89,2.49,24,,Standard,750 g,https://www.lidl.nl/p/roma-tomaten/p10023675,2026-02-24,Roma tomatoes
Nectarines,1.99,2.79,29,,Standard,500 g,https://www.lidl.nl/p/nectarines/p10023676,2026-02-24,Nectarines
Conference peren,1.29,1.79,28,,Standard,Per kg,https://www.lidl.nl/p/conference-peren/p10023677,2026-02-24,Conference pears
MiniÂ krieltjes,0.74,0.74,0,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/mini-krieltjes/p10023678,2026-02-24,MiniÂ potatoes
Bloemkool- of broccoliroosjes,1.72,2.29,25,Lidl Plus (-24%),Member Deal,,https://www.lidl.nl/p/bloemkool-of-broccoliroosjes/p10023679,2026-02-24,Cauliflower or broccoli florets
Nasi/bami- of macaroni/spaghetti groenten,1.29,1.69,24,Lidl Plus (-23%),Member Deal,,https://www.lidl.nl/p/nasi-bami-of-macaroni-spaghetti-groenten/p10023680,2026-02-24,Nasi/bami or macaroni/spaghetti vegetables
Sesam volkoren heel,1.49,1.99,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/sesam-volkoren-heel/p10023681,2026-02-24,Whole wheat sesame
Pecanbroodje,0.49,0.69,29,Lidl Plus (-28%),Member Deal,,https://www.lidl.nl/p/pecanbroodje/p10023682,2026-02-24,Pecan roll
Volkorenbol,0.29,0.69,58,Lidl Plus (-57%),Member Deal,,https://www.lidl.nl/p/volkorenbol/p10023683,2026-02-24,Whole wheat bun
Donuts,1.99,1.99,0,,Standard,4 donuts per pak,https://www.lidl.nl/p/donuts/p10023684,2026-02-24,Donuts
Witte bollen,1.32,1.32,0,,Standard,10+2 gratis bollen per verpakking,https://www.lidl.nl/p/witte-bollen/p10023685,2026-02-24,White balls
Appel-karamel cake,2.99,2.99,0,,Standard,350 g,https://www.lidl.nl/p/appel-karamel-cake/p10023686,2026-02-24,Apple caramel cake
Kabeljauwfilet,11.99,11.99,0,,Standard,520 g,https://www.lidl.nl/p/kabeljauwfilet/p10023687,2026-02-24,Cod fillet
Kipchampignonschnitzel,5.49,5.49,0,,Standard,500 g,https://www.lidl.nl/p/kipchampignonschnitzel/p10023688,2026-02-24,Chicken mushroom schnitzel
Diverse kleinverpakkingen vlees,5.49,5.49,0,,Standard,200-250 g,https://www.lidl.nl/p/diverse-kleinverpakkingen-vlees/p10023689,2026-02-24,Various small packages of meat
Zalmfilets op huid,16.99,16.99,0,,Standard,,https://www.lidl.nl/p/zalmfilets-op-huid/p10023690,2026-02-24,Salmon fillets on skin
Braadworsten,1.99,3.19,38,Lidl Plus (-37%),Member Deal,,https://www.lidl.nl/p/braadworsten/p10023691,2026-02-24,Bratwurst
Runderriblappen,8.49,10.49,19,Lidl Plus (-â¬2.-),Member Deal,,https://www.lidl.nl/p/runderriblappen/p10023692,2026-02-24,Beef rib steaks
Sis kebab,5.49,5.49,0,,Standard,,https://www.lidl.nl/p/sis-kebab/p10023693,2026-02-24,Sis kebab
Plantaardige burgers,1.18,1.18,0,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/plantaardige-burgers/p10023694,2026-02-24,Plant-based burgers
Pepersteak,4.99,4.99,0,,Standard,,https://www.lidl.nl/p/pepersteak/p10023695,2026-02-24,Pepper steak
Senseo koffiepads,4.99,7.1,30,,Standard,16-36 pads per pak,https://www.lidl.nl/p/senseo-koffiepads/p10023696,2026-02-24,Senseo coffee pods
Vlugge Japie,1.34,1.34,0,,Standard,6+1 stuks per verpakking,https://www.lidl.nl/p/vlugge-japie/p10023697,2026-02-24,Quick Jiminy
Diepvriesfruit,4.19,4.19,0,,Standard,750-1000 g,https://www.lidl.nl/p/diepvriesfruit/p10023698,2026-02-24,Frozen fruit
Zonnatura thee,2.49,2.49,0,,Standard,40 zakjes per pak. 54-64 g,https://www.lidl.nl/p/zonnatura-thee/p10023699,2026-02-24,Zonnatura tea
ProteÃ¯nedrink,0.99,1.25,21,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/proteinedrink/p10023700,2026-02-24,Protein drink
Friesche Vlag halvamel,1.19,1.58,25,,Standard,455 ml,https://www.lidl.nl/p/friesche-vlag-halvamel/p10023701,2026-02-24,Frisian Flag halvamel
Jack Linkâs Mr Beast Beef Jerky,3.99,3.99,0,Bekend van YouTube!,Standard,60 g,https://www.lidl.nl/p/jack-link-s-mr-beast-beef-jerky/p10023702,2026-02-24,Jack Link's Mr Beast Beef Jerky
