title,price,old_price,discount_percent,discount_label,deal_type,unit,url,scraped_at,title_eng
CORONA,8.99,8.99,0,,Standard,"12 x 0,25 l",https://www.lidl.nl/p/corona/p10031846,2026-08-11,CORONA
Goudse jonge kaasplakken,3.99,6.03,34,,Standard,500 g,https://www.lidl.nl/p/goudse-jonge-kaasplakken/p10031848,2026-08-11,Gouda young cheese slices
Braadworsten,1.99,3.16,37,Lidl Plus (-37%),Member Deal,,https://www.lidl.nl/p/braadworsten/p10031850,2026-08-11,Bratwurst
GrÃ¼ner Veltliner,3.29,4.39,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/gruner-veltliner/p10031852,2026-08-11,Gruner Veltliner
COCA-COLA,1.79,1.79,0,,Standard,2 liter,https://www.lidl.nl/p/coca-cola/p10031854,2026-08-11,COCA-COLA
MORA Oven & Airfryer snacks,1.99,2.29,13,,Standard,240-320 g,https://www.lidl.nl/p/mora-oven-airfryer-snacks/p10031856,2026-08-11,MORA Oven & Airfryer snacks
OMO Wasmiddel,7.49,7.49,0,,Standard,,https://www.lidl.nl/p/omo-wasmiddel/p10031858,2026-08-11,OMO Detergent
3-laags toiletpapier,6.29,6.29,0,,Standard,20 rollen,https://www.lidl.nl/p/3-laags-toiletpapier/p10031860,2026-08-11,3-ply toilet paper
Paprika rood,0.49,0.89,45,Lidl Plus (-45%),Member Deal,,https://www.lidl.nl/p/paprika-rood/p10031862,2026-08-11,Paprika red
Druiven wit pitloos,1.49,2.39,38,,Standard,500 g,https://www.lidl.nl/p/druiven-wit-pitloos/p10031864,2026-08-11,Grapes white seedless
Courgette,0.49,0.79,38,,Standard,Per stuk,https://www.lidl.nl/p/courgette/p10032080,2026-08-11,Zucchini
Spinazie,1.19,1.79,34,,Standard,450 g,https://www.lidl.nl/p/spinazie/p10031866,2026-08-11,Spinach
Bospeen,1.19,1.49,20,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/bospeen/p10031868,2026-08-11,Bunch of carrots
Bio Hokkaido pompoen,1.49,1.99,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/bio-hokkaido-pompoen/p10031870,2026-08-11,Organic Hokkaido pumpkin
Mandarijnen,1.49,2.29,35,Lidl Plus (-35%),Member Deal,,https://www.lidl.nl/p/mandarijnen/p10032082,2026-08-11,Mandarins
Galia- of cantaloupemeloen,1.29,1.99,35,Lidl Plus (-35%),Member Deal,,https://www.lidl.nl/p/galia-of-cantaloupemeloen/p10031872,2026-08-11,Galia or cantaloupe melon
Nederlandse blauwe bessen,3.49,4.79,27,,Standard,400 g,https://www.lidl.nl/p/nederlandse-blauwe-bessen/p10032100,2026-08-11,Dutch blueberries
"Maaltijdsalades tonijn, gerookte kip of mozzarella",2.99,3.99,25,Lidl Plus (tot -25%),Member Deal,,https://www.lidl.nl/p/maaltijdsalades-tonijn-gerookte-kip-of-mozzarella/p10031874,2026-08-11,"Meal salads tuna, smoked chicken or mozzarella"
Rucolasla melange,0.89,1.19,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/rucolasla-melange/p10031876,2026-08-11,Arugula lettuce blend
Mini krieltjes,0.79,0.99,20,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/mini-krieltjes/p10031878,2026-08-11,Mini potatoes
Gesneden fruit,0.99,1.69,41,Lidl Plus (tot -41%),Member Deal,,https://www.lidl.nl/p/gesneden-fruit/p10031880,2026-08-11,Sliced ​​fruit
Appeltaart,2.49,2.49,0,,Standard,600 g,https://www.lidl.nl/p/appeltaart/p10031882,2026-08-11,Apple pie
Koffiebroodje,0.39,0.69,43,Lidl Plus (-43%),Member Deal,,https://www.lidl.nl/p/koffiebroodje/p10031884,2026-08-11,Coffee roll
Kampioentje,0.39,0.49,20,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/kampioentje/p10031886,2026-08-11,Champion
Brookie,2.49,2.49,0,,Standard,250 g,https://www.lidl.nl/p/brookie/p10031888,2026-08-11,Brookie
Boerenbruin,0.99,1.39,29,,Standard,800 g,https://www.lidl.nl/p/boerenbruin/p10031890,2026-08-11,Farmer's brown
Party donuts,1.99,1.99,0,,Standard,,https://www.lidl.nl/p/party-donuts/p10031892,2026-08-11,Party donuts
Rib snack of gehaktbal currybroodje,1.19,1.19,0,,Standard,Per stuk,https://www.lidl.nl/p/rib-snack-of-gehaktbal-currybroodje/p10031894,2026-08-11,Rib snack or meatball curry roll
Gemengd gehakt,5.99,9.18,35,,Standard,1 kilo,https://www.lidl.nl/p/gemengd-gehakt/p10031896,2026-08-11,Mixed minced meat
Smashburgers,2.99,2.99,0,,Standard,200 g,https://www.lidl.nl/p/smashburgers/p10031898,2026-08-11,Smashburgers
Gehakt cordon bleu,3.99,4.78,17,,Standard,500 g,https://www.lidl.nl/p/gehakt-cordon-bleu/p10031900,2026-08-11,Chopped cordon bleu
KipdijsatÃ© spies,7.49,7.49,0,,Standard,640 g,https://www.lidl.nl/p/kipdijsate-spies/p10031902,2026-08-11,Chicken thigh satay skewer
Chicken wings bucket,4.99,4.99,0,,Standard,600 g,https://www.lidl.nl/p/chicken-wings-bucket/p10031904,2026-08-11,Chicken wings bucket
Gerookte spekreepjes,2.69,3.19,16,,Standard,300 g,https://www.lidl.nl/p/gerookte-spekreepjes/p10031906,2026-08-11,Smoked bacon strips
ALMHOF Volle kwark,1.49,2.79,47,,Standard,500 g,https://www.lidl.nl/p/almhof-volle-kwark/p10031908,2026-08-11,ALMHOF Whole cottage cheese
Roomdessert,0.39,0.48,19,,Standard,150 g,https://www.lidl.nl/p/roomdessert/p10032084,2026-08-11,Cream dessert
Drinkyoghurt,0.99,1.28,23,Lidl Plus (-23%),Member Deal,,https://www.lidl.nl/p/drinkyoghurt/p10031910,2026-08-11,Drinking yoghurt
Bapao,0.69,0.98,30,,Standard,240 g,https://www.lidl.nl/p/bapao/p10031912,2026-08-11,Bapao
